id,text,authentic
45001001,"Paul, a servant of Jesus Christ, called to be an apostle, separated unto the gospel of God,",TRUE
45001002,"(Which he had promised afore by his prophets in the holy scriptures,)",TRUE
45001003,"Concerning his Son Jesus Christ our Lord, which was made of the seed of David according to the flesh;",TRUE
45001004,"And declared to be the Son of God with power, according to the spirit of holiness, by the resurrection from the dead:",TRUE
45001005,"By whom we have received grace and apostleship, for obedience to the faith among all nations, for his name:",TRUE
45001006,Among whom are ye also the called of Jesus Christ:,TRUE
45001007,"To all that be in Rome, beloved of God, called to be saints: Grace to you and peace from God our Father, and the Lord Jesus Christ.",TRUE
45001008,"First, I thank my God through Jesus Christ for you all, that your faith is spoken of throughout the whole world.",TRUE
45001009,"For God is my witness, whom I serve with my spirit in the gospel of his Son, that without ceasing I make mention of you always in my prayers;",TRUE
45001010,"Making request, if by any means now at length I might have a prosperous journey by the will of God to come unto you.",TRUE
45001011,"For I long to see you, that I may impart unto you some spiritual gift, to the end ye may be established;",TRUE
45001012,"That is, that I may be comforted together with you by the mutual faith both of you and me.",TRUE
45001013,"Now I would not have you ignorant, brethren, that oftentimes I purposed to come unto you, (but was let hitherto,) that I might have some fruit among you also, even as among other Gentiles.",TRUE
45001014,"I am debtor both to the Greeks, and to the Barbarians; both to the wise, and to the unwise.",TRUE
45001015,"So, as much as in me is, I am ready to preach the gospel to you that are at Rome also.",TRUE
45001016,"For I am not ashamed of the gospel of Christ: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek.",TRUE
45001017,"For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.",TRUE
45001018,"For the wrath of God is revealed from heaven against all ungodliness and unrighteousness of men, who hold the truth in unrighteousness;",TRUE
45001019,Because that which may be known of God is manifest in them; for God hath shewed it unto them.,TRUE
45001020,"For the invisible things of him from the creation of the world are clearly seen, being understood by the things that are made, even his eternal power and Godhead; so that they are without excuse:",TRUE
45001021,"Because that, when they knew God, they glorified him not as God, neither were thankful; but became vain in their imaginations, and their foolish heart was darkened.",TRUE
45001022,"Professing themselves to be wise, they became fools,",TRUE
45001023,"And changed the glory of the uncorruptible God into an image made like to corruptible man, and to birds, and fourfooted beasts, and creeping things.",TRUE
45001024,"Wherefore God also gave them up to uncleanness through the lusts of their own hearts, to dishonour their own bodies between themselves:",TRUE
45001025,"Who changed the truth of God into a lie, and worshipped and served the creature more than the Creator, who is blessed for ever. Amen.",TRUE
45001026,For this cause God gave them up unto vile affections: for even their women did change the natural use into that which is against nature:,TRUE
45001027,"And likewise also the men, leaving the natural use of the woman, burned in their lust one toward another; men with men working that which is unseemly, and receiving in themselves that recompence of their error which was meet.",TRUE
45001028,"And even as they did not like to retain God in their knowledge, God gave them over to a reprobate mind, to do those things which are not convenient;",TRUE
45001029,"Being filled with all unrighteousness, fornication, wickedness, covetousness, maliciousness; full of envy, murder, debate, deceit, malignity; whisperers,",TRUE
45001030,"Backbiters, haters of God, despiteful, proud, boasters, inventors of evil things, disobedient to parents,",TRUE
45001031,"Without understanding, covenantbreakers, without natural affection, implacable, unmerciful:",TRUE
45001032,"Who knowing the judgment of God, that they which commit such things are worthy of death, not only do the same, but have pleasure in them that do them.",TRUE
45002001,"Therefore thou art inexcusable, O man, whosoever thou art that judgest: for wherein thou judgest another, thou condemnest thyself; for thou that judgest doest the same things.",TRUE
45002002,But we are sure that the judgment of God is according to truth against them which commit such things.,TRUE
45002003,"And thinkest thou this, O man, that judgest them which do such things, and doest the same, that thou shalt escape the judgment of God?",TRUE
45002004,Or despisest thou the riches of his goodness and forbearance and longsuffering; not knowing that the goodness of God leadeth thee to repentance?,TRUE
45002005,But after thy hardness and impenitent heart treasurest up unto thyself wrath against the day of wrath and revelation of the righteous judgment of God;,TRUE
45002006,Who will render to every man according to his deeds:,TRUE
45002007,"To them who by patient continuance in well doing seek for glory and honour and immortality, eternal life:",TRUE
45002008,"But unto them that are contentious, and do not obey the truth, but obey unrighteousness, indignation and wrath,",TRUE
45002009,"Tribulation and anguish, upon every soul of man that doeth evil, of the Jew first, and also of the Gentile;",TRUE
45002010,"But glory, honour, and peace, to every man that worketh good, to the Jew first, and also to the Gentile:",TRUE
45002011,For there is no respect of persons with God.,TRUE
45002012,For as many as have sinned without law shall also perish without law: and as many as have sinned in the law shall be judged by the law;,TRUE
45002013,"(For not the hearers of the law are just before God, but the doers of the law shall be justified.",TRUE
45002014,"For when the Gentiles, which have not the law, do by nature the things contained in the law, these, having not the law, are a law unto themselves:",TRUE
45002015,"Which shew the work of the law written in their hearts, their conscience also bearing witness, and their thoughts the mean while accusing or else excusing one another;)",TRUE
45002016,In the day when God shall judge the secrets of men by Jesus Christ according to my gospel.,TRUE
45002017,"Behold, thou art called a Jew, and restest in the law, and makest thy boast of God,",TRUE
45002018,"And knowest his will, and approvest the things that are more excellent, being instructed out of the law;",TRUE
45002019,"And art confident that thou thyself art a guide of the blind, a light of them which are in darkness,",TRUE
45002020,"An instructor of the foolish, a teacher of babes, which hast the form of knowledge and of the truth in the law.",TRUE
45002021,"Thou therefore which teachest another, teachest thou not thyself? thou that preachest a man should not steal, dost thou steal?",TRUE
45002022,"Thou that sayest a man should not commit adultery, dost thou commit adultery? thou that abhorrest idols, dost thou commit sacrilege?",TRUE
45002023,"Thou that makest thy boast of the law, through breaking the law dishonourest thou God?",TRUE
45002024,"For the name of God is blasphemed among the Gentiles through you, as it is written.",TRUE
45002025,"For circumcision verily profiteth, if thou keep the law: but if thou be a breaker of the law, thy circumcision is made uncircumcision.",TRUE
45002026,"Therefore if the uncircumcision keep the righteousness of the law, shall not his uncircumcision be counted for circumcision?",TRUE
45002027,"And shall not uncircumcision which is by nature, if it fulfil the law, judge thee, who by the letter and circumcision dost transgress the law?",TRUE
45002028,"For he is not a Jew, which is one outwardly; neither is that circumcision, which is outward in the flesh:",TRUE
45002029,"But he is a Jew, which is one inwardly; and circumcision is that of the heart, in the spirit, and not in the letter; whose praise is not of men, but of God.",TRUE
45003001,What advantage then hath the Jew? or what profit is there of circumcision?,TRUE
45003002,"Much every way: chiefly, because that unto them were committed the oracles of God.",TRUE
45003003,For what if some did not believe? shall their unbelief make the faith of God without effect?,TRUE
45003004,"God forbid: yea, let God be true, but every man a liar; as it is written, That thou mightest be justified in thy sayings, and mightest overcome when thou art judged.",TRUE
45003005,"But if our unrighteousness commend the righteousness of God, what shall we say? Is God unrighteous who taketh vengeance? (I speak as a man)",TRUE
45003006,God forbid: for then how shall God judge the world?,TRUE
45003007,For if the truth of God hath more abounded through my lie unto his glory; why yet am I also judged as a sinner?,TRUE
45003008,"And not rather, (as we be slanderously reported, and as some affirm that we say,) Let us do evil, that good may come? whose damnation is just.",TRUE
45003009,"What then? are we better than they? No, in no wise: for we have before proved both Jews and Gentiles, that they are all under sin;",TRUE
45003010,"As it is written, There is none righteous, no, not one:",TRUE
45003011,"There is none that understandeth, there is none that seeketh after God.",TRUE
45003012,"They are all gone out of the way, they are together become unprofitable; there is none that doeth good, no, not one.",TRUE
45003013,Their throat is an open sepulchre; with their tongues they have used deceit; the poison of asps is under their lips:,TRUE
45003014,Whose mouth is full of cursing and bitterness:,TRUE
45003015,Their feet are swift to shed blood:,TRUE
45003016,Destruction and misery are in their ways:,TRUE
45003017,And the way of peace have they not known:,TRUE
45003018,There is no fear of God before their eyes.,TRUE
45003019,"Now we know that what things soever the law saith, it saith to them who are under the law: that every mouth may be stopped, and all the world may become guilty before God.",TRUE
45003020,Therefore by the deeds of the law there shall no flesh be justified in his sight: for by the law is the knowledge of sin.,TRUE
45003021,"But now the righteousness of God without the law is manifested, being witnessed by the law and the prophets;",TRUE
45003022,Even the righteousness of God which is by faith of Jesus Christ unto all and upon all them that believe: for there is no difference:,TRUE
45003023,"For all have sinned, and come short of the glory of God;",TRUE
45003024,Being justified freely by his grace through the redemption that is in Christ Jesus:,TRUE
45003025,"Whom God hath set forth to be a propitiation through faith in his blood, to declare his righteousness for the remission of sins that are past, through the forbearance of God;",TRUE
45003026,"To declare, I say, at this time his righteousness: that he might be just, and the justifier of him which believeth in Jesus.",TRUE
45003027,Where is boasting then? It is excluded. By what law? of works? Nay: but by the law of faith.,TRUE
45003028,Therefore we conclude that a man is justified by faith without the deeds of the law.,TRUE
45003029,"Is he the God of the Jews only? is he not also of the Gentiles? Yes, of the Gentiles also:",TRUE
45003030,"Seeing it is one God, which shall justify the circumcision by faith, and uncircumcision through faith.",TRUE
45003031,"Do we then make void the law through faith? God forbid: yea, we establish the law.",TRUE
45004001,"What shall we say then that Abraham our father, as pertaining to the flesh, hath found?",TRUE
45004002,"For if Abraham were justified by works, he hath whereof to glory; but not before God.",TRUE
45004003,"For what saith the scripture? Abraham believed God, and it was counted unto him for righteousness.",TRUE
45004004,"Now to him that worketh is the reward not reckoned of grace, but of debt.",TRUE
45004005,"But to him that worketh not, but believeth on him that justifieth the ungodly, his faith is counted for righteousness.",TRUE
45004006,"Even as David also describeth the blessedness of the man, unto whom God imputeth righteousness without works,",TRUE
45004007,"Saying, Blessed are they whose iniquities are forgiven, and whose sins are covered.",TRUE
45004008,Blessed is the man to whom the Lord will not impute sin.,TRUE
45004009,"Cometh this blessedness then upon the circumcision only, or upon the uncircumcision also? for we say that faith was reckoned to Abraham for righteousness.",TRUE
45004010,"How was it then reckoned? when he was in circumcision, or in uncircumcision? Not in circumcision, but in uncircumcision.",TRUE
45004011,"And he received the sign of circumcision, a seal of the righteousness of the faith which he had yet being uncircumcised: that he might be the father of all them that believe, though they be not circumcised; that righteousness might be imputed unto them also:",TRUE
45004012,"And the father of circumcision to them who are not of the circumcision only, but who also walk in the steps of that faith of our father Abraham, which he had being yet uncircumcised.",TRUE
45004013,"For the promise, that he should be the heir of the world, was not to Abraham, or to his seed, through the law, but through the righteousness of faith.",TRUE
45004014,"For if they which are of the law be heirs, faith is made void, and the promise made of none effect:",TRUE
45004015,"Because the law worketh wrath: for where no law is, there is no transgression.",TRUE
45004016,"Therefore it is of faith, that it might be by grace; to the end the promise might be sure to all the seed; not to that only which is of the law, but to that also which is of the faith of Abraham; who is the father of us all,",TRUE
45004017,"(As it is written, I have made thee a father of many nations,) before him whom he believed, even God, who quickeneth the dead, and calleth those things which be not as though they were.",TRUE
45004018,"Who against hope believed in hope, that he might become the father of many nations, according to that which was spoken, So shall thy seed be.",TRUE
45004019,"And being not weak in faith, he considered not his own body now dead, when he was about an hundred years old, neither yet the deadness of Sarah's womb:",TRUE
45004020,"He staggered not at the promise of God through unbelief; but was strong in faith, giving glory to God;",TRUE
