id,book,chapter,verse,text,authentic
64001005,3 John,1,5,"Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;",False
62004013,1 John,4,13,"Hereby know we that we dwell in him, and he in us, because he hath given us of his Spirit.",False
65001025,Jude,1,25,"To the only wise God our Saviour, be glory and majesty, dominion and power, both now and ever. Amen.",False
62001006,1 John,1,6,"If we say that we have fellowship with him, and walk in darkness, we lie, and do not the truth:",False
59001017,James,1,17,"Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.",False
61003010,2 Peter,3,10,"But the day of the Lord will come as a thief in the night; in the which the heavens shall pass away with a great noise, and the elements shall melt with fervent heat, the earth also and the works that are therein shall be burned up.",False
61001015,2 Peter,1,15,Moreover I will endeavour that ye may be able after my decease to have these things always in remembrance.,False
60005011,1 Peter,5,11,To him be glory and dominion for ever and ever. Amen.,False
59002001,James,2,1,"My brethren, have not the faith of our Lord Jesus Christ, the Lord of glory, with respect of persons.",False
60004018,1 Peter,4,18,"And if the righteous scarcely be saved, where shall the ungodly and the sinner appear?",False
60002012,1 Peter,2,12,"Having your conversation honest among the Gentiles: that, whereas they speak against you as evildoers, they may by your good works, which they shall behold, glorify God in the day of visitation.",False
65001004,Jude,1,4,"For there are certain men crept in unawares, who were before of old ordained to this condemnation, ungodly men, turning the grace of our God into lasciviousness, and denying the only Lord God, and our Lord Jesus Christ.",False
61003014,2 Peter,3,14,"Wherefore, beloved, seeing that ye look for such things, be diligent that ye may be found of him in peace, without spot, and blameless.",False
60002010,1 Peter,2,10,"Which in time past were not a people, but are now the people of God: which had not obtained mercy, but now have obtained mercy.",False
62001009,1 John,1,9,"If we confess our sins, he is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness.",False
59003015,James,3,15,"This wisdom descendeth not from above, but is earthly, sensual, devilish.",False
59002014,James,2,14,"What doth it profit, my brethren, though a man say he hath faith, and have not works? can faith save him?",False
62005012,1 John,5,12,He that hath the Son hath life; and he that hath not the Son of God hath not life.,False
60003018,1 Peter,3,18,"For Christ also hath once suffered for sins, the just for the unjust, that he might bring us to God, being put to death in the flesh, but quickened by the Spirit:",False
59001015,James,1,15,"Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.",False
61003011,2 Peter,3,11,"Seeing then that all these things shall be dissolved, what manner of persons ought ye to be in all holy conversation and godliness,",False
59001016,James,1,16,"Do not err, my beloved brethren.",False
59005001,James,5,1,"Go to now, ye rich men, weep and howl for your miseries that shall come upon you.",False
62002005,1 John,2,5,"But whoso keepeth his word, in him verily is the love of God perfected: hereby know we that we are in him.",False
60003002,1 Peter,3,2,While they behold your chaste conversation coupled with fear.,False
60001023,1 Peter,1,23,"Being born again, not of corruptible seed, but of incorruptible, by the word of God, which liveth and abideth for ever.",False
62004006,1 John,4,6,"We are of God: he that knoweth God heareth us; he that is not of God heareth not us. Hereby know we the spirit of truth, and the spirit of error.",False
59003009,James,3,9,"Therewith bless we God, even the Father; and therewith curse we men, which are made after the similitude of God.",False
62004019,1 John,4,19,"We love him, because he first loved us.",False
59004010,James,4,10,"Humble yourselves in the sight of the Lord, and he shall lift you up.",False
60001021,1 Peter,1,21,"Who by him do believe in God, that raised him up from the dead, and gave him glory; that your faith and hope might be in God.",False
