id,book,chapter,verse,text
49001001,Ephesians,1,1,"Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:"
49001002,Ephesians,1,2,"Grace be to you, and peace, from God our Father, and from the Lord Jesus Christ."
49001003,Ephesians,1,3,"Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly places in Christ:"
49001004,Ephesians,1,4,"According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:"
49001005,Ephesians,1,5,"Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,"
49001006,Ephesians,1,6,"To the praise of the glory of his grace, wherein he hath made us accepted in the beloved."
49001007,Ephesians,1,7,"In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;"
49001008,Ephesians,1,8,Wherein he hath abounded toward us in all wisdom and prudence;
49001009,Ephesians,1,9,"Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:"
49001010,Ephesians,1,10,"That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; even in him:"
49001011,Ephesians,1,11,"In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:"
49001012,Ephesians,1,12,"That we should be to the praise of his glory, who first trusted in Christ."
49001013,Ephesians,1,13,"In whom ye also trusted, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,"
49001014,Ephesians,1,14,"Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory."
49001015,Ephesians,1,15,"Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,"
49001016,Ephesians,1,16,"Cease not to give thanks for you, making mention of you in my prayers;"
49001017,Ephesians,1,17,"That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:"
49001018,Ephesians,1,18,"The eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints,"
49001019,Ephesians,1,19,"And what is the exceeding greatness of his power to us-ward who believe, according to the working of his mighty power,"
