document_id,document_title,document_date,document_text,authentic
58001001,,,"God, who at sundry times and in divers manners spake in time past unto the fathers by the prophets,",0.00199715560302138
58001002,,,"Hath in these last days spoken unto us by his Son, whom he hath appointed heir of all things, by whom also he made the worlds;",0.00182694604154676
58001003,,,"Who being the brightness of his glory, and the express image of his person, and upholding all things by the word of his power, when he had by himself purged our sins, sat down on the right hand of the Majesty on high:",0.00252013746649027
58001004,,,"Being made so much better than the angels, as he hath by inheritance obtained a more excellent name than they.",0.103700526058674
58001005,,,"For unto which of the angels said he at any time, Thou art my Son, this day have I begotten thee? And again, I will be to him a Father, and he shall be to me a Son?",0.778370499610901
58001006,,,"And again, when he bringeth in the firstbegotten into the world, he saith, And let all the angels of God worship him.",0.00790738128125668
58001007,,,"And of the angels he saith, Who maketh his angels spirits, and his ministers a flame of fire.",0.00223529292270541
58001008,,,"But unto the Son he saith, Thy throne, O God, is for ever and ever: a sceptre of righteousness is the sceptre of thy kingdom.",0.0482131466269493
58001009,,,"Thou hast loved righteousness, and hated iniquity; therefore God, even thy God, hath anointed thee with the oil of gladness above thy fellows.",0.062379214912653
58001010,,,"And, Thou, Lord, in the beginning hast laid the foundation of the earth; and the heavens are the works of thine hands:",0.0407231003046036
58001011,,,They shall perish; but thou remainest; and they all shall wax old as doth a garment;,0.0258559286594391
58001012,,,"And as a vesture shalt thou fold them up, and they shall be changed: but thou art the same, and thy years shall not fail.",0.104006960988045
58001013,,,"But to which of the angels said he at any time, Sit on my right hand, until I make thine enemies thy footstool?",0.835701584815979
58001014,,,"Are they not all ministering spirits, sent forth to minister for them who shall be heirs of salvation?",0.819208860397339
58002001,,,"Therefore we ought to give the more earnest heed to the things which we have heard, lest at any time we should let them slip.",0.520891487598419
58002002,,,"For if the word spoken by angels was stedfast, and every transgression and disobedience received a just recompence of reward;",0.0570493042469025
58002003,,,"How shall we escape, if we neglect so great salvation; which at the first began to be spoken by the Lord, and was confirmed unto us by them that heard him;",0.0145627949386835
58002004,,,"God also bearing them witness, both with signs and wonders, and with divers miracles, and gifts of the Holy Ghost, according to his own will?",0.710943698883057
58002005,,,"For unto the angels hath he not put in subjection the world to come, whereof we speak.",0.0871014520525932
58002006,,,"But one in a certain place testified, saying, What is man, that thou art mindful of him? or the son of man that thou visitest him?",0.699033319950104
58002007,,,"Thou madest him a little lower than the angels; thou crownedst him with glory and honour, and didst set him over the works of thy hands:",0.0906803384423256
58002008,,,"Thou hast put all things in subjection under his feet. For in that he put all in subjection under him, he left nothing that is not put under him. But now we see not yet all things put under him.",0.958159208297729
58002009,,,"But we see Jesus, who was made a little lower than the angels for the suffering of death, crowned with glory and honour; that he by the grace of God should taste death for every man.",0.767676830291748
58002010,,,"For it became him, for whom are all things, and by whom are all things, in bringing many sons unto glory, to make the captain of their salvation perfect through sufferings.",0.205523252487183
58002011,,,"For both he that sanctifieth and they who are sanctified are all of one: for which cause he is not ashamed to call them brethren,",0.998640358448029
58002012,,,"Saying, I will declare thy name unto my brethren, in the midst of the church will I sing praise unto thee.",0.913183033466339
58002013,,,"And again, I will put my trust in him. And again, Behold I and the children which God hath given me.",0.0720129162073135
58002014,,,"Forasmuch then as the children are partakers of flesh and blood, he also himself likewise took part of the same; that through death he might destroy him that had the power of death, that is, the devil;",0.0508815385401249
58002015,,,And deliver them who through fear of death were all their lifetime subject to bondage.,0.656286597251892
58002016,,,For verily he took not on him the nature of angels; but he took on him the seed of Abraham.,0.99936181306839
58002017,,,"Wherefore in all things it behoved him to be made like unto his brethren, that he might be a merciful and faithful high priest in things pertaining to God, to make reconciliation for the sins of the people.",0.695322155952454
58002018,,,"For in that he himself hath suffered being tempted, he is able to succour them that are tempted.",0.991876363754272
58003001,,,"Wherefore, holy brethren, partakers of the heavenly calling, consider the Apostle and High Priest of our profession, Christ Jesus;",0.993451237678528
58003002,,,"Who was faithful to him that appointed him, as also Moses was faithful in all his house.",0.605961799621582
58003003,,,"For this man was counted worthy of more glory than Moses, inasmuch as he who hath builded the house hath more honour than the house.",0.524866878986359
58003004,,,For every house is builded by some man; but he that built all things is God.,0.999056160449982
58003005,,,"And Moses verily was faithful in all his house, as a servant, for a testimony of those things which were to be spoken after;",0.758126199245453
58003006,,,"But Christ as a son over his own house; whose house are we, if we hold fast the confidence and the rejoicing of the hope firm unto the end.",0.341919928789139
58003007,,,"Wherefore (as the Holy Ghost saith, To day if ye will hear his voice,",0.113409511744976
58003008,,,"Harden not your hearts, as in the provocation, in the day of temptation in the wilderness:",0.014717373996973
58003009,,,"When your fathers tempted me, proved me, and saw my works forty years.",0.0572612695395947
