id,book,chapter,verse,document_text,authentic
49001001,Ephesians,1,1,"Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:",0.911170483
49001002,Ephesians,1,2,"Grace be to you, and peace, from God our Father, and from the Lord Jesus Christ.",0.989841998
49001003,Ephesians,1,3,"Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly places in Christ:",0.009017557
49001004,Ephesians,1,4,"According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:",0.004962702
49001005,Ephesians,1,5,"Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,",0.98541981
49001006,Ephesians,1,6,"To the praise of the glory of his grace, wherein he hath made us accepted in the beloved.",0.788329422
49001007,Ephesians,1,7,"In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;",0.394385099
49001008,Ephesians,1,8,Wherein he hath abounded toward us in all wisdom and prudence;,0.583160639
49001009,Ephesians,1,9,"Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:",0.991171062
49001010,Ephesians,1,10,"That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; even in him:",0.989519119
49001011,Ephesians,1,11,"In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:",0.701425135
49001012,Ephesians,1,12,"That we should be to the praise of his glory, who first trusted in Christ.",0.100661695
49001013,Ephesians,1,13,"In whom ye also trusted, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,",0.413610786
49001014,Ephesians,1,14,"Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory.",0.973866642
49001015,Ephesians,1,15,"Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,",0.651398897
49001016,Ephesians,1,16,"Cease not to give thanks for you, making mention of you in my prayers;",0.98683399
49001017,Ephesians,1,17,"That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:",0.002140278
49001018,Ephesians,1,18,"The eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints,",0.011927502
49001019,Ephesians,1,19,"And what is the exceeding greatness of his power to us-ward who believe, according to the working of his mighty power,",0.292286515
49001020,Ephesians,1,20,"Which he wrought in Christ, when he raised him from the dead, and set him at his own right hand in the heavenly places,",0.020266598
49001021,Ephesians,1,21,"Far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come:",0.094424106
49001022,Ephesians,1,22,"And hath put all things under his feet, and gave him to be the head over all things to the church,",0.974942744
49001023,Ephesians,1,23,"Which is his body, the fulness of him that filleth all in all.",0.950742006
49002001,Ephesians,2,1,"And you hath he quickened, who were dead in trespasses and sins;",0.126915634
49002002,Ephesians,2,2,"Wherein in time past ye walked according to the course of this world, according to the prince of the power of the air, the spirit that now worketh in the children of disobedience:",0.001540199
49002003,Ephesians,2,3,"Among whom also we all had our conversation in times past in the lusts of our flesh, fulfilling the desires of the flesh and of the mind; and were by nature the children of wrath, even as others.",0.010387256
49002004,Ephesians,2,4,"But God, who is rich in mercy, for his great love wherewith he loved us,",0.037535563
49002005,Ephesians,2,5,"Even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;)",0.986133277
49002006,Ephesians,2,6,"And hath raised us up together, and made us sit together in heavenly places in Christ Jesus:",0.997533441
49002007,Ephesians,2,7,That in the ages to come he might shew the exceeding riches of his grace in his kindness toward us through Christ Jesus.,0.069902956
49002008,Ephesians,2,8,For by grace are ye saved through faith; and that not of yourselves: it is the gift of God:,0.980536819
49002009,Ephesians,2,9,"Not of works, lest any man should boast.",0.99356997
49002010,Ephesians,2,10,"For we are his workmanship, created in Christ Jesus unto good works, which God hath before ordained that we should walk in them.",0.626594782
49002011,Ephesians,2,11,"Wherefore remember, that ye being in time past Gentiles in the flesh, who are called Uncircumcision by that which is called the Circumcision in the flesh made by hands;",0.998347521
49002012,Ephesians,2,12,"That at that time ye were without Christ, being aliens from the commonwealth of Israel, and strangers from the covenants of promise, having no hope, and without God in the world:",0.935677826
49002013,Ephesians,2,13,But now in Christ Jesus ye who sometimes were far off are made nigh by the blood of Christ.,0.996583581
49002014,Ephesians,2,14,"For he is our peace, who hath made both one, and hath broken down the middle wall of partition between us;",0.983900666
49002015,Ephesians,2,15,"Having abolished in his flesh the enmity, even the law of commandments contained in ordinances; for to make in himself of twain one new man, so making peace;",0.961567163
49002016,Ephesians,2,16,"And that he might reconcile both unto God in one body by the cross, having slain the enmity thereby:",0.666903675
49002017,Ephesians,2,17,"And came and preached peace to you which were afar off, and to them that were nigh.",0.15916352
49002018,Ephesians,2,18,For through him we both have access by one Spirit unto the Father.,0.999469697
49002019,Ephesians,2,19,"Now therefore ye are no more strangers and foreigners, but fellowcitizens with the saints, and of the household of God;",0.999042571
49002020,Ephesians,2,20,"And are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone;",0.048094422
49002021,Ephesians,2,21,In whom all the building fitly framed together groweth unto an holy temple in the Lord:,0.983242512
49002022,Ephesians,2,22,In whom ye also are builded together for an habitation of God through the Spirit.,0.997531235
49003001,Ephesians,3,1,"For this cause I Paul, the prisoner of Jesus Christ for you Gentiles,",0.99985373
49003002,Ephesians,3,2,If ye have heard of the dispensation of the grace of God which is given me to you-ward:,0.998035848
49003003,Ephesians,3,3,"How that by revelation he made known unto me the mystery; (as I wrote afore in few words,",0.966070473
49003004,Ephesians,3,4,"Whereby, when ye read, ye may understand my knowledge in the mystery of Christ)",0.980773509
49003005,Ephesians,3,5,"Which in other ages was not made known unto the sons of men, as it is now revealed unto his holy apostles and prophets by the Spirit;",0.011288223
49003006,Ephesians,3,6,"That the Gentiles should be fellowheirs, and of the same body, and partakers of his promise in Christ by the gospel:",0.723405957
49003007,Ephesians,3,7,"Whereof I was made a minister, according to the gift of the grace of God given unto me by the effectual working of his power.",0.990297616
49003008,Ephesians,3,8,"Unto me, who am less than the least of all saints, is this grace given, that I should preach among the Gentiles the unsearchable riches of Christ;",0.999744594
49003009,Ephesians,3,9,"And to make all men see what is the fellowship of the mystery, which from the beginning of the world hath been hid in God, who created all things by Jesus Christ:",0.159907669
49003010,Ephesians,3,10,"To the intent that now unto the principalities and powers in heavenly places might be known by the church the manifold wisdom of God,",0.998866439
49003011,Ephesians,3,11,According to the eternal purpose which he purposed in Christ Jesus our Lord:,0.044766564
49003012,Ephesians,3,12,In whom we have boldness and access with confidence by the faith of him.,0.944840431
49003013,Ephesians,3,13,"Wherefore I desire that ye faint not at my tribulations for you, which is your glory.",0.998347878
49003014,Ephesians,3,14,"For this cause I bow my knees unto the Father of our Lord Jesus Christ,",0.981891453
49003015,Ephesians,3,15,"Of whom the whole family in heaven and earth is named,",0.990035594
49003016,Ephesians,3,16,"That he would grant you, according to the riches of his glory, to be strengthened with might by his Spirit in the inner man;",0.983825088
49003017,Ephesians,3,17,"That Christ may dwell in your hearts by faith; that ye, being rooted and grounded in love,",0.942273855
49003018,Ephesians,3,18,"May be able to comprehend with all saints what is the breadth, and length, and depth, and height;",0.999340117
49003019,Ephesians,3,19,"And to know the love of Christ, which passeth knowledge, that ye might be filled with all the fulness of God.",0.783244908
49003020,Ephesians,3,20,"Now unto him that is able to do exceeding abundantly above all that we ask or think, according to the power that worketh in us,",0.867717326
49003021,Ephesians,3,21,"Unto him be glory in the church by Christ Jesus throughout all ages, world without end. Amen.",0.636943519
49004001,Ephesians,4,1,"I therefore, the prisoner of the Lord, beseech you that ye walk worthy of the vocation wherewith ye are called,",0.999376595
49004002,Ephesians,4,2,"With all lowliness and meekness, with longsuffering, forbearing one another in love;",0.231861487
49004003,Ephesians,4,3,Endeavouring to keep the unity of the Spirit in the bond of peace.,0.994457364
49004004,Ephesians,4,4,"There is one body, and one Spirit, even as ye are called in one hope of your calling;",0.983117938
49004005,Ephesians,4,5,"One Lord, one faith, one baptism,",0.995903671
49004006,Ephesians,4,6,"One God and Father of all, who is above all, and through all, and in you all.",0.012700326
49004007,Ephesians,4,7,But unto every one of us is given grace according to the measure of the gift of Christ.,0.999732792
49004008,Ephesians,4,8,"Wherefore he saith, When he ascended up on high, he led captivity captive, and gave gifts unto men.",0.265420765
49004009,Ephesians,4,9,"(Now that he ascended, what is it but that he also descended first into the lower parts of the earth?",0.998023272
49004010,Ephesians,4,10,"He that descended is the same also that ascended up far above all heavens, that he might fill all things.)",0.012461308
49004011,Ephesians,4,11,"And he gave some, apostles; and some, prophets; and some, evangelists; and some, pastors and teachers;",0.925925791
49004012,Ephesians,4,12,"For the perfecting of the saints, for the work of the ministry, for the edifying of the body of Christ:",0.999426246
49004013,Ephesians,4,13,"Till we all come in the unity of the faith, and of the knowledge of the Son of God, unto a perfect man, unto the measure of the stature of the fulness of Christ:",0.977803469
49004014,Ephesians,4,14,"That we henceforth be no more children, tossed to and fro, and carried about with every wind of doctrine, by the sleight of men, and cunning craftiness, whereby they lie in wait to deceive;",0.021286367
49004015,Ephesians,4,15,"But speaking the truth in love, may grow up into him in all things, which is the head, even Christ:",0.004613153
49004016,Ephesians,4,16,"From whom the whole body fitly joined together and compacted by that which every joint supplieth, according to the effectual working in the measure of every part, maketh increase of the body unto the edifying of itself in love.",0.946468711
49004017,Ephesians,4,17,"This I say therefore, and testify in the Lord, that ye henceforth walk not as other Gentiles walk, in the vanity of their mind,",0.152471676
49004018,Ephesians,4,18,"Having the understanding darkened, being alienated from the life of God through the ignorance that is in them, because of the blindness of their heart:",0.00594468
49004019,Ephesians,4,19,"Who being past feeling have given themselves over unto lasciviousness, to work all uncleanness with greediness.",0.004099187
49004020,Ephesians,4,20,But ye have not so learned Christ;,0.999440014
49004021,Ephesians,4,21,"If so be that ye have heard him, and have been taught by him, as the truth is in Jesus:",0.002196924
49004022,Ephesians,4,22,"That ye put off concerning the former conversation the old man, which is corrupt according to the deceitful lusts;",0.000373275
49004023,Ephesians,4,23,And be renewed in the spirit of your mind;,0.887925148
49004024,Ephesians,4,24,"And that ye put on the new man, which after God is created in righteousness and true holiness.",0.021156769
49004025,Ephesians,4,25,"Wherefore putting away lying, speak every man truth with his neighbour: for we are members one of another.",0.054930732
49004026,Ephesians,4,26,"Be ye angry, and sin not: let not the sun go down upon your wrath:",0.000701806
49004027,Ephesians,4,27,Neither give place to the devil.,0.998664021
