id,book,chapter,verse,document_text,authentic
54001001,1 Timothy,1,1,"Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, which is our hope;",0.218636632
54001002,1 Timothy,1,2,"Unto Timothy, my own son in the faith: Grace, mercy, and peace, from God our Father and Jesus Christ our Lord.",0.013953991
54001003,1 Timothy,1,3,"As I besought thee to abide still at Ephesus, when I went into Macedonia, that thou mightest charge some that they teach no other doctrine,",0.994953454
54001004,1 Timothy,1,4,"Neither give heed to fables and endless genealogies, which minister questions, rather than godly edifying which is in faith: so do.",0.933469117
54001005,1 Timothy,1,5,"Now the end of the commandment is charity out of a pure heart, and of a good conscience, and of faith unfeigned:",0.95479548
54001006,1 Timothy,1,6,From which some having swerved have turned aside unto vain jangling;,0.053904016
54001007,1 Timothy,1,7,"Desiring to be teachers of the law; understanding neither what they say, nor whereof they affirm.",0.993713677
54001008,1 Timothy,1,8,"But we know that the law is good, if a man use it lawfully;",0.981218517
54001009,1 Timothy,1,9,"Knowing this, that the law is not made for a righteous man, but for the lawless and disobedient, for the ungodly and for sinners, for unholy and profane, for murderers of fathers and murderers of mothers, for manslayers,",0.985327482
54001010,1 Timothy,1,10,"For whoremongers, for them that defile themselves with mankind, for menstealers, for liars, for perjured persons, and if there be any other thing that is contrary to sound doctrine;",0.784507096
54001011,1 Timothy,1,11,"According to the glorious gospel of the blessed God, which was committed to my trust.",0.991996467
54001012,1 Timothy,1,12,"And I thank Christ Jesus our Lord, who hath enabled me, for that he counted me faithful, putting me into the ministry;",0.995317221
54001013,1 Timothy,1,13,"Who was before a blasphemer, and a persecutor, and injurious: but I obtained mercy, because I did it ignorantly in unbelief.",0.924626887
54001014,1 Timothy,1,14,And the grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus.,0.995299816
54001015,1 Timothy,1,15,"This is a faithful saying, and worthy of all acceptation, that Christ Jesus came into the world to save sinners; of whom I am chief.",0.990961254
54001016,1 Timothy,1,16,"Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting.",0.037717883
54001017,1 Timothy,1,17,"Now unto the King eternal, immortal, invisible, the only wise God, be honour and glory for ever and ever. Amen.",0.0741897
54001018,1 Timothy,1,18,"This charge I commit unto thee, son Timothy, according to the prophecies which went before on thee, that thou by them mightest war a good warfare;",0.022430103
54001019,1 Timothy,1,19,"Holding faith, and a good conscience; which some having put away concerning faith have made shipwreck:",0.030722026
54001020,1 Timothy,1,20,"Of whom is Hymenaeus and Alexander; whom I have delivered unto Satan, that they may learn not to blaspheme.",0.939970315
54002001,1 Timothy,2,1,"I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;",0.999535441
54002002,1 Timothy,2,2,"For kings, and for all that are in authority; that we may lead a quiet and peaceable life in all godliness and honesty.",0.093320444
54002003,1 Timothy,2,3,For this is good and acceptable in the sight of God our Saviour;,0.992848754
54002004,1 Timothy,2,4,"Who will have all men to be saved, and to come unto the knowledge of the truth.",0.017600335
54002005,1 Timothy,2,5,"For there is one God, and one mediator between God and men, the man Christ Jesus;",0.998039186
54002006,1 Timothy,2,6,"Who gave himself a ransom for all, to be testified in due time.",0.745633364
54002007,1 Timothy,2,7,"Whereunto I am ordained a preacher, and an apostle, (I speak the truth in Christ, and lie not;) a teacher of the Gentiles in faith and verity.",0.989460111
54002008,1 Timothy,2,8,"I will therefore that men pray every where, lifting up holy hands, without wrath and doubting.",0.993777037
54002009,1 Timothy,2,9,"In like manner also, that women adorn themselves in modest apparel, with shamefacedness and sobriety; not with broided hair, or gold, or pearls, or costly array;",0.038864274
54002010,1 Timothy,2,10,But (which becometh women professing godliness) with good works.,0.979462922
54002011,1 Timothy,2,11,Let the woman learn in silence with all subjection.,0.993098915
54002012,1 Timothy,2,12,"But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence.",0.996711731
54002013,1 Timothy,2,13,"For Adam was first formed, then Eve.",0.99881053
54002014,1 Timothy,2,14,"And Adam was not deceived, but the woman being deceived was in the transgression.",0.481199205
54002015,1 Timothy,2,15,"Notwithstanding she shall be saved in childbearing, if they continue in faith and charity and holiness with sobriety.",0.185384139
54003001,1 Timothy,3,1,"This is a true saying, If a man desire the office of a bishop, he desireth a good work.",0.691967905
54003002,1 Timothy,3,2,"A bishop then must be blameless, the husband of one wife, vigilant, sober, of good behaviour, given to hospitality, apt to teach;",0.915935218
54003003,1 Timothy,3,3,"Not given to wine, no striker, not greedy of filthy lucre; but patient, not a brawler, not covetous;",0.146507159
54003004,1 Timothy,3,4,"One that ruleth well his own house, having his children in subjection with all gravity;",0.017831927
54003005,1 Timothy,3,5,"(For if a man know not how to rule his own house, how shall he take care of the church of God?)",0.973710239
54003006,1 Timothy,3,6,"Not a novice, lest being lifted up with pride he fall into the condemnation of the devil.",0.045029551
54003007,1 Timothy,3,7,Moreover he must have a good report of them which are without; lest he fall into reproach and the snare of the devil.,0.011486564
54003008,1 Timothy,3,8,"Likewise must the deacons be grave, not doubletongued, not given to much wine, not greedy of filthy lucre;",0.835085869
54003009,1 Timothy,3,9,Holding the mystery of the faith in a pure conscience.,0.987314165
54003010,1 Timothy,3,10,"And let these also first be proved; then let them use the office of a deacon, being found blameless.",0.994444311
54003011,1 Timothy,3,11,"Even so must their wives be grave, not slanderers, sober, faithful in all things.",0.017969584
54003012,1 Timothy,3,12,"Let the deacons be the husbands of one wife, ruling their children and their own houses well.",0.892761171
54003013,1 Timothy,3,13,"For they that have used the office of a deacon well purchase to themselves a good degree, and great boldness in the faith which is in Christ Jesus.",0.997444153
54003014,1 Timothy,3,14,"These things write I unto thee, hoping to come unto thee shortly:",0.006122761
54003015,1 Timothy,3,15,"But if I tarry long, that thou mayest know how thou oughtest to behave thyself in the house of God, which is the church of the living God, the pillar and ground of the truth.",0.004550054
54003016,1 Timothy,3,16,"And without controversy great is the mystery of godliness: God was manifest in the flesh, justified in the Spirit, seen of angels, preached unto the Gentiles, believed on in the world, received up into glory.",0.614658356
54004001,1 Timothy,4,1,"Now the Spirit speaketh expressly, that in the latter times some shall depart from the faith, giving heed to seducing spirits, and doctrines of devils;",0.514927983
54004002,1 Timothy,4,2,Speaking lies in hypocrisy; having their conscience seared with a hot iron;,0.003053481
54004003,1 Timothy,4,3,"Forbidding to marry, and commanding to abstain from meats, which God hath created to be received with thanksgiving of them which believe and know the truth.",0.292179644
54004004,1 Timothy,4,4,"For every creature of God is good, and nothing to be refused, if it be received with thanksgiving:",0.996533275
54004005,1 Timothy,4,5,For it is sanctified by the word of God and prayer.,0.999598801
54004006,1 Timothy,4,6,"If thou put the brethren in remembrance of these things, thou shalt be a good minister of Jesus Christ, nourished up in the words of faith and of good doctrine, whereunto thou hast attained.",0.215056077
54004007,1 Timothy,4,7,"But refuse profane and old wives' fables, and exercise thyself rather unto godliness.",0.015577655
54004008,1 Timothy,4,8,"For bodily exercise profiteth little: but godliness is profitable unto all things, having promise of the life that now is, and of that which is to come.",0.082832366
54004009,1 Timothy,4,9,This is a faithful saying and worthy of all acceptation.,0.992597461
54004010,1 Timothy,4,10,"For therefore we both labour and suffer reproach, because we trust in the living God, who is the Saviour of all men, specially of those that believe.",0.11445222
54004011,1 Timothy,4,11,These things command and teach.,0.033510122
54004012,1 Timothy,4,12,"Let no man despise thy youth; but be thou an example of the believers, in word, in conversation, in charity, in spirit, in faith, in purity.",0.271248072
54004013,1 Timothy,4,13,"Till I come, give attendance to reading, to exhortation, to doctrine.",0.992987454
54004014,1 Timothy,4,14,"Neglect not the gift that is in thee, which was given thee by prophecy, with the laying on of the hands of the presbytery.",0.120294258
54004015,1 Timothy,4,15,Meditate upon these things; give thyself wholly to them; that thy profiting may appear to all.,0.479156166
54004016,1 Timothy,4,16,"Take heed unto thyself, and unto the doctrine; continue in them: for in doing this thou shalt both save thyself, and them that hear thee.",0.008912555
54005001,1 Timothy,5,1,"Rebuke not an elder, but intreat him as a father; and the younger men as brethren;",0.312520266
54005002,1 Timothy,5,2,"The elder women as mothers; the younger as sisters, with all purity.",0.139384404
54005003,1 Timothy,5,3,Honour widows that are widows indeed.,0.840997696
54005004,1 Timothy,5,4,"But if any widow have children or nephews, let them learn first to shew piety at home, and to requite their parents: for that is good and acceptable before God.",0.078878291
54005005,1 Timothy,5,5,"Now she that is a widow indeed, and desolate, trusteth in God, and continueth in supplications and prayers night and day.",0.053660978
54005006,1 Timothy,5,6,But she that liveth in pleasure is dead while she liveth.,0.98828584
54005007,1 Timothy,5,7,"And these things give in charge, that they may be blameless.",0.97959739
54005008,1 Timothy,5,8,"But if any provide not for his own, and specially for those of his own house, he hath denied the faith, and is worse than an infidel.",0.084189244
54005009,1 Timothy,5,9,"Let not a widow be taken into the number under threescore years old, having been the wife of one man.",0.912321985
54005010,1 Timothy,5,10,"Well reported of for good works; if she have brought up children, if she have lodged strangers, if she have washed the saints' feet, if she have relieved the afflicted, if she have diligently followed every good work.",0.813930273
54005011,1 Timothy,5,11,"But the younger widows refuse: for when they have begun to wax wanton against Christ, they will marry;",0.252128959
54005012,1 Timothy,5,12,"Having damnation, because they have cast off their first faith.",0.023625501
54005013,1 Timothy,5,13,"And withal they learn to be idle, wandering about from house to house; and not only idle, but tattlers also and busybodies, speaking things which they ought not.",0.005119371
54005014,1 Timothy,5,14,"I will therefore that the younger women marry, bear children, guide the house, give none occasion to the adversary to speak reproachfully.",0.923169732
54005015,1 Timothy,5,15,For some are already turned aside after Satan.,0.999566376
54005016,1 Timothy,5,16,"If any man or woman that believeth have widows, let them relieve them, and let not the church be charged; that it may relieve them that are widows indeed.",0.968255341
54005017,1 Timothy,5,17,"Let the elders that rule well be counted worthy of double honour, especially they who labour in the word and doctrine.",0.569846272
54005018,1 Timothy,5,18,"For the scripture saith, Thou shalt not muzzle the ox that treadeth out the corn. And, The labourer is worthy of his reward.",0.813131511
54005019,1 Timothy,5,19,"Against an elder receive not an accusation, but before two or three witnesses.",0.084131904
54005020,1 Timothy,5,20,"Them that sin rebuke before all, that others also may fear.",0.036728915
54005021,1 Timothy,5,21,"I charge thee before God, and the Lord Jesus Christ, and the elect angels, that thou observe these things without preferring one before another, doing nothing by partiality.",0.772100627
54005022,1 Timothy,5,22,"Lay hands suddenly on no man, neither be partaker of other men's sins: keep thyself pure.",0.097362109
54005023,1 Timothy,5,23,"Drink no longer water, but use a little wine for thy stomach's sake and thine often infirmities.",0.289235413
54005024,1 Timothy,5,24,"Some men's sins are open beforehand, going before to judgment; and some men they follow after.",0.572732568
54005025,1 Timothy,5,25,Likewise also the good works of some are manifest beforehand; and they that are otherwise cannot be hid.,0.992061496
54006001,1 Timothy,6,1,"Let as many servants as are under the yoke count their own masters worthy of all honour, that the name of God and his doctrine be not blasphemed.",0.242818967
54006002,1 Timothy,6,2,"And they that have believing masters, let them not despise them, because they are brethren; but rather do them service, because they are faithful and beloved, partakers of the benefit. These things teach and exhort.",0.005927418
54006003,1 Timothy,6,3,"If any man teach otherwise, and consent not to wholesome words, even the words of our Lord Jesus Christ, and to the doctrine which is according to godliness;",0.009837136
54006004,1 Timothy,6,4,"He is proud, knowing nothing, but doting about questions and strifes of words, whereof cometh envy, strife, railings, evil surmisings,",0.001648794
54006005,1 Timothy,6,5,"Perverse disputings of men of corrupt minds, and destitute of the truth, supposing that gain is godliness: from such withdraw thyself.",0.07406272
54006006,1 Timothy,6,6,But godliness with contentment is great gain.,0.980589986
54006007,1 Timothy,6,7,"For we brought nothing into this world, and it is certain we can carry nothing out.",0.99962759
54006008,1 Timothy,6,8,And having food and raiment let us be therewith content.,0.976629734
54006009,1 Timothy,6,9,"But they that will be rich fall into temptation and a snare, and into many foolish and hurtful lusts, which drown men in destruction and perdition.",0.001594799
54006010,1 Timothy,6,10,"For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows.",0.014938228
54006011,1 Timothy,6,11,"But thou, O man of God, flee these things; and follow after righteousness, godliness, faith, love, patience, meekness.",0.634869158
54006012,1 Timothy,6,12,"Fight the good fight of faith, lay hold on eternal life, whereunto thou art also called, and hast professed a good profession before many witnesses.",0.08908952
54006013,1 Timothy,6,13,"I give thee charge in the sight of God, who quickeneth all things, and before Christ Jesus, who before Pontius Pilate witnessed a good confession;",0.983064115
54006014,1 Timothy,6,14,"That thou keep this commandment without spot, unrebukable, until the appearing of our Lord Jesus Christ:",0.105948247
54006015,1 Timothy,6,15,"Which in his times he shall shew, who is the blessed and only Potentate, the King of kings, and Lord of lords;",0.543096602
54006016,1 Timothy,6,16,"Who only hath immortality, dwelling in the light which no man can approach unto; whom no man hath seen, nor can see: to whom be honour and power everlasting. Amen.",0.014853116
54006017,1 Timothy,6,17,"Charge them that are rich in this world, that they be not highminded, nor trust in uncertain riches, but in the living God, who giveth us richly all things to enjoy;",0.050397385
54006018,1 Timothy,6,18,"That they do good, that they be rich in good works, ready to distribute, willing to communicate;",0.995425761
54006019,1 Timothy,6,19,"Laying up in store for themselves a good foundation against the time to come, that they may lay hold on eternal life.",0.006123547
54006020,1 Timothy,6,20,"O Timothy, keep that which is committed to thy trust, avoiding profane and vain babblings, and oppositions of science falsely so called:",0.009091672
54006021,1 Timothy,6,21,Which some professing have erred concerning the faith. Grace be with thee. Amen.,0.920135021
55001001,2 Timothy,1,1,"Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus,",0.994844913
55001002,2 Timothy,1,2,"To Timothy, my dearly beloved son: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord.",0.005101173
55001003,2 Timothy,1,3,"I thank God, whom I serve from my forefathers with pure conscience, that without ceasing I have remembrance of thee in my prayers night and day;",0.014387852
55001004,2 Timothy,1,4,"Greatly desiring to see thee, being mindful of thy tears, that I may be filled with joy;",0.391569078
55001005,2 Timothy,1,5,"When I call to remembrance the unfeigned faith that is in thee, which dwelt first in thy grandmother Lois, and thy mother Eunice; and I am persuaded that in thee also.",0.122817703
55001006,2 Timothy,1,6,"Wherefore I put thee in remembrance that thou stir up the gift of God, which is in thee by the putting on of my hands.",0.880450368
55001007,2 Timothy,1,7,"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.",0.895742595
55001008,2 Timothy,1,8,"Be not thou therefore ashamed of the testimony of our Lord, nor of me his prisoner: but be thou partaker of the afflictions of the gospel according to the power of God;",0.999366105
55001009,2 Timothy,1,9,"Who hath saved us, and called us with an holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the world began,",0.011540751
55001010,2 Timothy,1,10,"But is now made manifest by the appearing of our Saviour Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel:",0.047840632
55001011,2 Timothy,1,11,"Whereunto I am appointed a preacher, and an apostle, and a teacher of the Gentiles.",0.99936372
55001012,2 Timothy,1,12,"For the which cause I also suffer these things: nevertheless I am not ashamed: for I know whom I have believed, and am persuaded that he is able to keep that which I have committed unto him against that day.",0.879399657
55001013,2 Timothy,1,13,"Hold fast the form of sound words, which thou hast heard of me, in faith and love which is in Christ Jesus.",0.119690798
55001014,2 Timothy,1,14,That good thing which was committed unto thee keep by the Holy Ghost which dwelleth in us.,0.002521575
55001015,2 Timothy,1,15,"This thou knowest, that all they which are in Asia be turned away from me; of whom are Phygellus and Hermogenes.",0.995315433
55001016,2 Timothy,1,16,"The Lord give mercy unto the house of Onesiphorus; for he oft refreshed me, and was not ashamed of my chain:",0.965235293
55001017,2 Timothy,1,17,"But, when he was in Rome, he sought me out very diligently, and found me.",0.997316778
55001018,2 Timothy,1,18,"The Lord grant unto him that he may find mercy of the Lord in that day: and in how many things he ministered unto me at Ephesus, thou knowest very well.",0.69930011
55002001,2 Timothy,2,1,"Thou therefore, my son, be strong in the grace that is in Christ Jesus.",0.96709609
55002002,2 Timothy,2,2,"And the things that thou hast heard of me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also.",0.824952841
55002003,2 Timothy,2,3,"Thou therefore endure hardness, as a good soldier of Jesus Christ.",0.861598134
55002004,2 Timothy,2,4,No man that warreth entangleth himself with the affairs of this life; that he may please him who hath chosen him to be a soldier.,0.984342694
55002005,2 Timothy,2,5,"And if a man also strive for masteries, yet is he not crowned, except he strive lawfully.",0.974819005
55002006,2 Timothy,2,6,The husbandman that laboureth must be first partaker of the fruits.,0.885985672
55002007,2 Timothy,2,7,Consider what I say; and the Lord give thee understanding in all things.,0.996749401
55002008,2 Timothy,2,8,Remember that Jesus Christ of the seed of David was raised from the dead according to my gospel:,0.99429518
55002009,2 Timothy,2,9,"Wherein I suffer trouble, as an evil doer, even unto bonds; but the word of God is not bound.",0.99435401
55002010,2 Timothy,2,10,"Therefore I endure all things for the elect's sakes, that they may also obtain the salvation which is in Christ Jesus with eternal glory.",0.974846184
55002011,2 Timothy,2,11,"It is a faithful saying: For if we be dead with him, we shall also live with him:",0.995087802
55002012,2 Timothy,2,12,"If we suffer, we shall also reign with him: if we deny him, he also will deny us:",0.120944984
55002013,2 Timothy,2,13,"If we believe not, yet he abideth faithful: he cannot deny himself.",0.57716012
55002014,2 Timothy,2,14,"Of these things put them in remembrance, charging them before the Lord that they strive not about words to no profit, but to the subverting of the hearers.",0.027857276
55002015,2 Timothy,2,15,"Study to shew thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth.",0.044980757
55002016,2 Timothy,2,16,But shun profane and vain babblings: for they will increase unto more ungodliness.,0.008462719
